r_author,r_type
johnny loftus,NULL
johnny loftus,NULL
joe tangari,contributor
rob mitchum,contributor
mark pytlik,contributor
sam ubl,NULL
brandon stosuy,contributor
stephen m. deusner,contributor
brian howe,contributor
stephen m. deusner,contributor
johnny loftus,NULL
brian howe,contributor
scott plagenhoef,contributor
joe tangari,contributor
brandon stosuy,contributor
brian howe,contributor
nick sylvester,contributor
dan lett,NULL
amanda petrusich,contributor
nick sylvester,contributor
sam ubl,NULL
dominique leone,contributor
catherine lewis,NULL
joe tangari,contributor
stephen m. deusner,contributor
jonathan zwickel,contributor
mark richardson,executive editor
johnny loftus,NULL
jonathan zwickel,contributor
rollie pemberton,NULL
johnny loftus,NULL
sam ubl,NULL
rob mitchum,contributor
brian howe,contributor
joe tangari,contributor
amanda petrusich,contributor
johnny loftus,NULL
dominique leone,contributor
brandon stosuy,contributor
joe tangari,contributor
matt lemay,contributor
nick sylvester,contributor
michael idov,NULL
sam ubl,NULL
stephen m. deusner,contributor
jonathan zwickel,contributor
stephen m. deusner,contributor
rollie pemberton,NULL
chris dahlen,NULL
johnny loftus,NULL
james p. wisdom,NULL
dan lett,NULL
scott plagenhoef,contributor
brent dicrescenzo,contributor
mark richardson,executive editor
sam ubl,NULL
jonathan zwickel,contributor
rob mitchum,contributor
stephen m. deusner,contributor
dominique leone,contributor
joe tangari,contributor
nick sylvester,contributor
johnny loftus,NULL
rollie pemberton,NULL
dan lett,NULL
jonathan zwickel,contributor
alex linhardt,NULL
brandon stosuy,contributor
stephen m. deusner,contributor
rollie pemberton,NULL
sam ubl,NULL
scott plagenhoef,contributor
joe tangari,contributor
rob mitchum,contributor
dan lett,NULL
johnny loftus,NULL
mark richardson,executive editor
nick sylvester,contributor
alex linhardt,NULL
amanda petrusich,contributor
jonathan zwickel,contributor
sam ubl,NULL
dominique leone,contributor
mark richardson & nick sylvester,NULL
stephen m. deusner,contributor
stephen m. deusner,contributor
nick sylvester,contributor
jonathan zwickel,contributor
brandon stosuy,contributor
sam ubl,NULL
amanda petrusich,contributor
stephen m. deusner,contributor
dominique leone,contributor
scott plagenhoef,contributor
chris dahlen,NULL
mark richardson,executive editor
brandon stosuy,contributor
sam ubl,NULL
jonathan zwickel,contributor
joe tangari,contributor
amanda petrusich,contributor
chris dahlen,NULL
stephen m. deusner,contributor
sam ubl,NULL
johnny loftus,NULL
mark richardson,executive editor
sam ubl,NULL
rollie pemberton,NULL
matt lemay,contributor
johnny loftus,NULL
jonathan zwickel,contributor
jonathan zwickel,contributor
andy beta,contributor
nick sylvester,contributor
stephen m. deusner,contributor
dominique leone,contributor
rob mitchum,contributor
sam ubl,NULL
dominique leone,contributor
jonathan zwickel,contributor
stephen m. deusner,contributor
brandon stosuy,contributor
brent dicrescenzo,contributor
stephen m. deusner,contributor
joe tangari,contributor
brandon stosuy,contributor
nick sylvester,contributor
jonathan zwickel,contributor
chris dahlen,NULL
mark richardson,executive editor
rollie pemberton,NULL
amanda petrusich,contributor
nick sylvester,contributor
dan lett,NULL
dominique leone,contributor
scott plagenhoef,contributor
rollie pemberton,NULL
johnny loftus,NULL
sam ubl,NULL
stephen m. deusner,contributor
joe tangari,contributor
rollie pemberton,NULL
amanda petrusich,contributor
dominique leone,contributor
sam ubl,NULL
nick sylvester,contributor
joe tangari,contributor
mark richardson,executive editor
johnny loftus,NULL
michael idov,NULL
rollie pemberton,NULL
nick sylvester,contributor
dan lett,NULL
chris dahlen,NULL
jonathan zwickel,contributor
joe tangari,contributor
dominique leone,contributor
jonathan zwickel,contributor
nick sylvester,contributor
sam ubl,NULL
brandon stosuy,contributor
stephen m. deusner,contributor
chris dahlen,NULL
nick sylvester,contributor
sam ubl,NULL
matt lemay,contributor
joe tangari,contributor
stephen m. deusner,contributor
rollie pemberton,NULL
joe tangari,contributor
mark richardson,executive editor
rollie pemberton,NULL
andy beta,contributor
jonathan zwickel,contributor
dan lett,NULL
amanda petrusich,contributor
neil robertson,NULL
jonathan zwickel,contributor
dominique leone,contributor
stephen m. deusner,contributor
joe tangari,contributor
alex linhardt,NULL
stephen deusner,NULL
amanda petrusich,contributor
chris dahlen,NULL
brandon stosuy,contributor
nick sylvester,contributor
sam ubl,NULL
joe tangari,contributor
rollie pemberton,NULL
dominique leone,contributor
dan lett,NULL
joe tangari,contributor
loren ludwig & jascha hoffman,NULL
"andy beta, brandon stosuy & mark richardson",NULL
jonathan zwickel,contributor
dan lett,NULL
mark richardson,executive editor
joe tangari,contributor
mark pytlik,contributor
dominique leone,contributor
andy beta,contributor
matt lemay,contributor
stephen m. deusner,contributor
amanda petrusich,contributor
nick sylvester,contributor
sam ubl,NULL
chris dahlen,NULL
matt lemay,contributor
jonathan zwickel,contributor
brandon stosuy,contributor
stephen m. deusner,contributor
joe tangari,contributor
dominique leone,contributor
andy beta,contributor
neil robertson,NULL
rollie pemberton,NULL
amanda petrusich,contributor
dan lett,NULL
mark richardson,executive editor
brandon stosuy,contributor
joe tangari,contributor
stephen m. deusner,contributor
sam ubl,NULL
amanda petrusich,contributor
joe tangari,contributor
dan lett,NULL
dominique leone,contributor
jonathan zwickel,contributor
scott plagenhoef,contributor
joe tangari,contributor
rollie pemberton,NULL
stephen m. deusner,contributor
nick sylvester,contributor
rollie pemberton,NULL
mark richardson,executive editor
neil robertson,NULL
sam ubl,NULL
nick sylvester,contributor
andy beta,contributor
amanda petrusich,contributor
eric carr,contributor
dominique leone,contributor
stephen m. deusner,contributor
sam ubl,NULL
joe tangari,contributor
neil robertson,NULL
jedediah gilchrist,NULL
joe tangari,contributor
sam ubl,NULL
amanda petrusich,contributor
rollie pemberton,NULL
andy beta,contributor
brandon stosuy,contributor
brent dicrescenzo,contributor
dominique leone,contributor
mark richardson,executive editor
dan lett,NULL
philip shelley,NULL
rollie pemberton,NULL
andy beta,contributor
nick sylvester,contributor
rollie pemberton,NULL
matt lemay,contributor
chris dahlen,NULL
amanda petrusich,contributor
sam ubl,NULL
joe tangari,contributor
philip shelley,NULL
stephen m. deusner,contributor
amanda petrusich,contributor
brent dicrescenzo,contributor
brandon stosuy,contributor
stephen m. deusner,contributor
mark richardson,executive editor
joe tangari,contributor
chris weber,NULL
neil robertson,NULL
dan lett,NULL
jonathan zwickel,contributor
dominique leone,contributor
jonathan zwickel,contributor
christopher sebela,NULL
sam ubl,NULL
rob mitchum,contributor
stephen m. deusner,contributor
stephen m. deusner,contributor
philip shelley,NULL
jonathan zwickel,contributor
andy beta,contributor
amanda petrusich,contributor
amanda petrusich,contributor
chris weber,NULL
joe tangari,contributor
rollie pemberton,NULL
christopher sebela,NULL
rollie pemberton & nick sylvester,NULL
brent dicrescenzo,contributor
brandon stosuy,contributor
scott plagenhoef,contributor
jedediah gilchrist,NULL
sam ubl,NULL
amanda petrusich,contributor
mark pytlik,contributor
stephen m. deusner,contributor
christopher sebela,NULL
andy beta,contributor
joe tangari,contributor
alex linhardt,NULL
christopher weber,NULL
dominique leone,contributor
stephen m. deusner,contributor
neil robertson,NULL
sam ubl,NULL
rollie pemberton,NULL
nick sylvester,contributor
chris dahlen,NULL
brandon stosuy,contributor
neil robertson,NULL
dominique leone,contributor
sam ubl,NULL
andy beta,contributor
mark richardson,executive editor
nick sylvester,contributor
dominique leone,contributor
andrew bryant,NULL
rollie pemberton,NULL
joe tangari,contributor
joe tangari,contributor
matt lemay,contributor
neil robertson,NULL
mark pytlik,contributor
sam ubl,NULL
alex linhardt,NULL
amanda petrusich,contributor
neil robertson,NULL
brent dicrescenzo,contributor
dominique leone,contributor
scott plagenhoef,contributor
sam ubl,NULL
chris dahlen,NULL
andy beta,contributor
michael idov,NULL
mark richardson,executive editor
nick sylvester,contributor
brandon stosuy,contributor
neil robertson,NULL
amanda petrusich,contributor
mark pytlik,contributor
brent dicrescenzo,contributor
rollie pemberton,NULL
sam ubl,NULL
dominique leone,contributor
joe tangari,contributor
chris dahlen,NULL
nick sylvester,contributor
brandon stosuy,contributor
brandon stosuy,contributor
rollie pemberton,NULL
amanda petrusich,contributor
scott plagenhoef,contributor
sam ubl,NULL
joe tangari,contributor
jt ramsay,NULL
sam ubl,NULL
jedediah gilchrist,NULL
joe tangari,contributor
andy beta,contributor
mark pytlik,contributor
jt ramsay,NULL
mark richardson,executive editor
dominique leone,contributor
alex linhardt,NULL
neil robertson,NULL
amanda petrusich,contributor
hartley goldstein,NULL
nick sylvester,contributor
amanda petrusich,contributor
sam ubl,NULL
andy beta,contributor
scott plagenhoef,contributor
rollie pemberton,NULL
brandon stosuy,contributor
joe tangari,contributor
sam ubl,NULL
hartley goldstein,NULL
eric carr,contributor
chris dahlen,NULL
joe tangari,contributor
mark richardson,executive editor
mark pytlik,contributor
nick sylvester,contributor
dominique leone,contributor
amanda petrusich,contributor
rob mitchum,contributor
sam ubl,NULL
alex linhardt,NULL
andy beta,contributor
chris dahlen,NULL
joe tangari,contributor
dominique leone,contributor
brandon stosuy,contributor
mark pytlik,contributor
amanda petrusich,contributor
scott plagenhoef,contributor
chris drabick,NULL
sam ubl,NULL
matt lemay,contributor
andy beta,contributor
rollie pemberton,NULL
rollie pemberton,NULL
mark richardson,executive editor
hartley goldstein,NULL
mark pytlik,contributor
sean fennessey,contributor
dominique leone,contributor
nick sylvester,contributor
amanda petrusich,contributor
joe tangari,contributor
chris dahlen,NULL
dominique leone,contributor
sam ubl,NULL
dominique leone,contributor
hartley goldstein,NULL
brandon stosuy,contributor
andy beta,contributor
sam ubl,NULL
andy beta,contributor
amanda petrusich,contributor
j. wasserman,NULL
joe tangari,contributor
chris drabick,NULL
eric carr,contributor
nick sylvester,contributor
sean fennessey,contributor
alex linhardt,NULL
andy beta,contributor
william morris,NULL
scott plagenhoef,contributor
"chris dahlen, dominique leone & joe tangari",NULL
p.j. gallagher,NULL
amanda petrusich,contributor
michael idov,NULL
brandon stosuy,contributor
joe tangari,contributor
amanda petrusich,contributor
eric carr,contributor
nick sylvester,contributor
scott plagenhoef,contributor
hartley goldstein,NULL
matt lemay,contributor
nick sylvester,contributor
dan miron,NULL
pj gallagher,NULL
william bowers,contributor
amanda petrusich,contributor
joe tangari,contributor
mark richardson,executive editor
william morris,NULL
andy beta,contributor
joe tangari,contributor
jascha hoffman,NULL
dominique leone,contributor
hartley goldstein,NULL
william bowers,contributor
dominique leone,contributor
casey rea,NULL
alex linhardt,NULL
hartley goldstein,NULL
chris dahlen,NULL
amanda petrusich,contributor
scott plagenhoef,contributor
brandon stosuy,contributor
nick sylvester,contributor
philip welsh,NULL
william morris,NULL
rob mitchum,contributor
nick sylvester,contributor
andy beta,contributor
william morris,NULL
jascha hoffman,NULL
mark richardson,executive editor
hartley goldstein,NULL
brent dicrescenzo,contributor
alex linhardt,NULL
joe tangari,contributor
scott plagenhoef,contributor
amanda petrusich,contributor
andy beta,contributor
scott plagenhoef,contributor
eric carr,contributor
alan smithee,NULL
william morris,NULL
alex linhardt,NULL
dominique leone,contributor
amanda petrusich,contributor
joe tangari,contributor
brandon stosuy,contributor
scott plagenhoef,contributor
andy beta,contributor
matt lemay,contributor
joe tangari,contributor
mark richardson,executive editor
rob mitchum,contributor
william bowers,contributor
andy beta,contributor
amanda petrusich,contributor
william bowers,contributor
eric carr,contributor
alex linhardt,NULL
dominique leone,contributor
dominique leone,contributor
chris dahlen,NULL
joe tangari,contributor
brandon stosuy,contributor
hartley goldstein,NULL
william morris,NULL
mark richardson,executive editor
matt lemay,contributor
amanda petrusich,contributor
hartley goldstein,NULL
joe tangari,contributor
andy beta,contributor
amanda petrusich,contributor
eric carr,contributor
alex linhardt,NULL
scott plagenhoef,contributor
dominique leone,contributor
joe tangari,contributor
william bowers,contributor
nick sylvester,contributor
hartley goldstein,NULL
joe tangari,contributor
dominique leone,contributor
scott plagenhoef,contributor
alex linhardt,NULL
brandon stosuy,contributor
dominique leone,contributor
chris dahlen,NULL
amanda petrusich,contributor
hartley goldstein,NULL
william morris,NULL
alex linhardt,NULL
mark richardson,executive editor
joe tangari,contributor
rob mitchum,contributor
eric carr,contributor
william bowers,contributor
scott plagenhoef,contributor
amanda petrusich,contributor
alex linhardt,NULL
hartley goldstein,NULL
andy beta,contributor
amanda petrusich,contributor
nick sylvester,contributor
dominique leone,contributor
chris dahlen,NULL
scott plagenhoef,contributor
william morris,NULL
nick sylvester,contributor
rollie pemberton,NULL
brandon stosuy,contributor
hartley goldstein,NULL
rollie pemberton,NULL
andy beta,contributor
dominique leone,contributor
